ref,value
C1,2200u
C3,100n
C4,100n
C5,100n
C6,100n
C7,100n
C8,100n
C9,100n
C10,100n
C11,6.8n
C12,6.8n
C13,6.8n
C14,6.8n
C15,6.8n
C16,6.8n
C17,6.8n
C18,47u
C19,2200u
C21,6.8n
D1,VERT
D2,JAUNE
D3,JAUNE
D4,JAUNE
D5,JAUNE
D6,JAUNE
D7,JAUNE
D8,DIODE
D9,DIODE
D10,DIODE
D11,DIODE
D12,DIODE
D13,DIODE
D14,DIODE
D15,DIODE
D16,VERT
D17,VERT
D18,VERT
J1,RJ12
K2,CONN_4
K3,CONN_4
K4,CONN_3
K5,CONN_3
K6,COLONETTE
K7,COLONETTE
K8,COLONETTE
K9,COLONETTE
K10,CONN_2
P1,CAVALIER
P2,CONN_4
P3,CAVALIER
P4,CONN_6
P5,CONN_4
P6,CONN_5
P7,CONN_4
P8,CONN_4
Q1,MOS_N
Q2,MOS_N
Q3,MOS_N
Q4,MOS_N
Q5,MOS_N
Q6,MOS_N
Q7,MOS_N
Q8,MOS_N
R1,0.068
R2,0.068
R3,1.5k
R4,1.5k
R5,47
R6,47
R7,220k
R8,47
R9,47
R10,220k
R11,0.068
R12,47
R13,47
R14,220k
R15,47
R16,47
R17,220k
R18,0.068
R19,470
R20,1.5k
R21,1.5k
R22,1.5k
R23,1.5k
R24,1.5k
R25,1.5k
R26,1.5k
R27,1.5k
R28,1.5k
R29,1.5k
R30,1.5k
R31,1.5k
R34,1k
R35,10k 1%
R36,10k 1%
R37,10k 1%
R38,10k 1%
R39,1k 1%
R40,1k 1%
R41,1k 1%
R42,1k 1%
R43,220k
R44,2.1k
R45,2.1k
R46,3k3
R47,3k3
R48,1k
R49,1k
R50,1k5
R51,1k5
R52,0.068
R53,0.068
R54,0.068
R55,0.068
R56,1k
R57,1k5
SW2,SW_PUSH_SMALL
U2,HCTL-2032
U3,74HC02
U4,LM5104
U5,LM5104
U6,74HC02
U7,LM5104
U8,LM5104
U10,PIC32MX795F512H
U11,74LVCC3245
U12,74LVCC3245
U13,74LVCC3245
U14,PCA9306
